spot,e3MAF,e4MAF,e1MAF,e15MAF,e8MAF,e9MAF,e10MAF,e11MAF,e13MAF,e5h2MAF,e6h3MAF,e12h4MAF,e14h5MAF
e3MAF,,,,,,,,,,,,,
e4MAF,4.2,,,,,,,,,,,,
e1MAF,4.9,1,,,,,,,,,,,
e15MAF,6.1,6.9,8,,,,,,,,,,
e8MAF,2.2,3.3,4.4,4.3,,,,,,,,,
e9MAF,4.7,2,3,5.3,2.9,,,,,,,,
e10MAF,3.5,4.4,5.5,2.8,1.5,3.2,,,,,,,
e11MAF,4.9,3.7,4.2,3.5,2.7,1.8,2.2,,,,,,
e13MAF,6.4,4.5,5.4,3.8,4.2,2.5,3.5,1.5,,,,,
e5h2MAF,3.8,0.9,2,5.9,2.5,1.3,3.5,2.7,3.7,,,,
e6h3MAF,3,2,3.1,5,1.4,1.6,2.4,2.2,3.6,1.2,,,
e12h4MAF,5,5.9,7,1.2,3.2,4.4,1.7,2.8,3.5,4.9,3.9,,
e14h5MAF,6.4,5.3,6.2,2.8,4.2,3.3,3.1,1.6,1,4.3,3.9,2.8,
