spot,e26h9MAF,e25h8MAF,e23MAF,e29MAF,E19_2OKmaf,e17MAF,e20MAF,e31MAF,e21h7MAF,e28h10MAF,e30h11MAF,e16MAF,e22MAF,E27_4OKmaf
e26h9MAF,,,,,,,,,,,,,,
e25h8MAF,1.4,,,,,,,,,,,,,
e23MAF,2.8,1.5,,,,,,,,,,,,
e29MAF,1.8,2.2,2.4,,,,,,,,,,,
E19_2OKmaf,3.8,5.2,6.3,4.4,,,,,,,,,,
e17MAF,2.2,3.6,5,3.8,2.4,,,,,,,,,
e20MAF,4.2,5.6,6.5,4.4,0.9,3,,,,,,,,
e31MAF,4.3,5.1,5.2,2.9,4.5,5.3,3.8,,,,,,,
e21h7MAF,4.9,6.3,7,4.8,2.1,4.3,1.1,3.4,,,,,,
e28h10MAF,3.9,5.2,5.8,3.2,2.5,3.9,1.8,1.8,1.6,,,,,
e30h11MAF,2.9,3.6,3.5,1.3,4.3,4.4,3.9,1.5,4,2.4,,,,
e16MAF,2.7,2.2,3.5,4.2,5.6,3.3,6.3,7,7.3,6.5,5.5,,,
e22MAF,3.5,2.2,1.8,4,7.3,5.5,7.8,7,8.5,7.3,5.3,2.9,,
E27_4OKmaf,1.3,2.8,3.9,2.2,2.4,1.5,2.8,3.9,3.6,2.8,2.9,3.5,4.8,
