spot,F17_a4OKmaf,F2_2OKmaf,F23_d1OKmaf,F1_1OKmaf,F9_3OKmaf,F20_c8OKmaf,F24_a5OKmaf,F28_a6OKmaf,F10_4OKmaf,F11_5OKmaf,F12_6OKmaf,F13_7OKmaf,F14_8OKmaf,F16_9OKmaf
F17_a4OKmaf,,,,,,,,,,,,,,
F2_2OKmaf,0.3,,,,,,,,,,,,,
F23_d1OKmaf,2.5,3.1,,,,,,,,,,,,
F1_1OKmaf,1.1,0.7,2.6,,,,,,,,,,,
F9_3OKmaf,2.3,2.2,0.9,1.7,,,,,,,,,,
F20_c8OKmaf,1,1.1,1.8,1.4,1.8,,,,,,,,,
F24_a5OKmaf,2.7,3.5,1.3,3.4,2,1.7,,,,,,,,
F28_a6OKmaf,4,4.7,2,4.5,2.9,3,1.2,,,,,,,
F10_4OKmaf,2.9,2.7,0.4,2.2,0.5,2.2,1.8,2.5,,,,,,
F11_5OKmaf,2.8,2.2,0.9,2.4,0.7,2,1.3,2.1,0.6,,,,,
F12_6OKmaf,3.3,3.3,2.2,3.3,2.1,2.3,0.4,1.6,2,1.4,,,,
F13_7OKmaf,3.4,3.4,0.7,2.9,1.2,2.5,1.2,1.7,0.7,0.5,1.5,,,
F14_8OKmaf,4.1,4.1,2.2,3.9,2.5,3.2,0.5,0.7,2.2,1.7,0.9,1.5,,
F16_9OKmaf,5,5,2.3,4.7,3,4,1.6,0.5,2.5,2.3,2,1.8,1.1,
