spot,H1_C3MAF,H3_C4MAF,H4_C7MAF,H6_C8MAF,H7_C9MAF,H8_C1MAF,H9_D3MAF,H10_D4MAF,H11_D6MAF,H12_D7MAF,H14_D8MAF,H15_D9MAF,H16_10MAF,H2_8MAF,H5_9MAF,H13_6MAF
H1_C3MAF,,,,,,,,,,,,,,,,
H3_C4MAF,2.4,,,,,,,,,,,,,,,
H4_C7MAF,4.1,1.7,,,,,,,,,,,,,,
H6_C8MAF,5.3,3.3,2.5,,,,,,,,,,,,,
H7_C9MAF,6.6,4.4,3.2,1.3,,,,,,,,,,,,
H8_C1MAF,5.3,3.8,3.4,1,2.2,,,,,,,,,,,
H9_D3MAF,4.3,3.2,3.3,1.9,3.1,1.1,,,,,,,,,,
H10_D4MAF,4.2,3.5,4,2.6,3.8,1.8,0.7,,,,,,,,,
H11_D6MAF,5.9,5.4,5.6,3.6,4.6,2.5,2.2,1.8,,,,,,,,
H12_D7MAF,6,6.2,6.8,5.2,6.2,4.1,3.5,2.8,1.7,,,,,,,
H14_D8MAF,8.2,6.3,5.3,2.8,2.2,3,4.1,4.6,4.4,6,,,,,,
H15_D9MAF,8.6,7.3,6.9,4.3,4.3,3.5,4.3,4.3,3.1,4.3,2.8,,,,,
H16_10MAF,7.9,7,6.8,4.4,4.9,3.4,3.8,3.6,2,3,3.8,1.3,,,,
H2_8MAF,0.9,1.9,3.5,5.1,6.3,5.4,4.4,4.5,6.2,6.6,8,8.8,8,,,
H5_9MAF,4.2,2,1.5,1.3,2.3,2,2,2.6,4.1,5.5,4.2,5.5,5.4,4,,
H13_6MAF,6.8,5.3,4.7,2.2,2.4,1.5,2.6,2.9,2.5,4.1,1.8,2,2.4,6.8,3.4,
