spot,h2e4MAF,mafH3x2,h7e6MAF,mafH9x2,mafH11x2,mafH14x2,h1MAF,h6MAF,h8MAF,h11MAF,h12MAF,h14MAF,h15MAF,h17MAF
h2e4MAF,,,,,,,,,,,,,,
mafH3x2,1.4,,,,,,,,,,,,,
h7e6MAF,2.9,2.5,,,,,,,,,,,,
mafH9x2,4,3,1.5,,,,,,,,,,,
mafH11x2,5.8,5.5,3,3.5,,,,,,,,,,
mafH14x2,4,4.8,3.4,4.8,3.5,,,,,,,,,
h1MAF,1.8,1.8,4.2,5,7.2,5.8,,,,,,,,
h6MAF,1.4,1.8,1.7,3,4.3,3,3,,,,,,,
h8MAF,3.1,2.8,0.4,1.8,2.7,3,4.5,1.8,,,,,,
h11MAF,2.4,3.7,3.8,5.3,5.5,2.4,4,2.2,3.7,,,,,
h12MAF,3.2,4.2,3.5,5.2,4.5,1.3,5,2.5,3.3,1,,,,
h14MAF,4.6,5.4,3.6,5,3.4,0.4,6.5,3.5,3.3,3,1.9,,,
h15MAF,5,5.5,3.5,4.7,2.3,1.5,7,3.8,3.1,3.9,2.9,1.1,,
h17MAF,7,7.2,4.7,4.7,2.3,3.3,8.8,5.6,4.5,5.7,4.8,2.8,1.9,
