spot,J14_8OKmaf,J15_9OKmaf,J24_13OKmaf,J27_14OKmaf,J31_15OKmaf,J16_10OKmaf,J19_11OKmaf,J22_12OKmaf,J18_6OKmaf,J20_7OKmaf,J23_9OKmaf,J30_12OKmaf,ave neighbor,ave all spots
J14_8OKmaf,,,,,,,,,,,,,,
J15_9OKmaf,6.7,,,,,,,,,,,,,
J24_13OKmaf,4.5,4,,,,,,,,,,,,
J27_14OKmaf,4.4,5.6,1.6,,,,,,,,,,,
J31_15OKmaf,3.1,6.9,3.1,1.8,,,,,,,,,,
J16_10OKmaf,6.3,0.6,3.3,5,6.3,,,,,,,,,
J19_11OKmaf,5.4,2.7,1.5,3,4.5,2,,,,,,,,
J22_12OKmaf,5.3,4.2,0.7,1.7,3.5,3.5,1.4,,,,,,,
J18_6OKmaf,5.7,1.3,4.1,5.5,6.5,1.6,3,4.5,,,,,,
J20_7OKmaf,4.3,2.9,1.3,2.7,3.9,2.4,1.1,1.9,2.7,,,,,
J23_9OKmaf,4.6,4.8,0.7,0.9,2.7,4,2,0.8,4.8,2,,,,
J30_12OKmaf,2.7,5.9,2.4,1.6,1,5.3,3.7,2.9,5.5,3,2.2,,,
