spot,ka1MAF,ka4MAF,Ka5f12MAF,ka8MAF,ka10MAF,ka11MAF,ka6g1MAF,ka7g2MAF,ka21MAF,ka22g6MAF,ka13MAF,ka12MAF,ka15MAF,ka17MAF,ka19MAF,ka14g3MAF,ka18g4MAF,ka20g5MAF,ka23g7MAF,ka24g8MAF
ka1MAF,,,,,,,,,,,,,,,,,,,,
ka4MAF,2.7,,,,,,,,,,,,,,,,,,,
Ka5f12MAF,1.9,1.7,,,,,,,,,,,,,,,,,,
ka8MAF,5.8,3.5,3.9,,,,,,,,,,,,,,,,,
ka10MAF,6.5,3.7,4.9,2.5,,,,,,,,,,,,,,,,
ka11MAF,6.8,4,5.3,3.3,0.7,,,,,,,,,,,,,,,
ka6g1MAF,3.9,1.8,2,1.8,3,3.5,,,,,,,,,,,,,,
ka7g2MAF,4,2.4,2.2,1.8,3.5,4.2,0.8,,,,,,,,,,,,,
ka21MAF,5.9,3.2,4.8,4,1.8,1.4,3.5,4.2,,,,,,,,,,,,
ka22g6MAF,5,2.1,3.5,2.9,1.6,1.8,2.2,2.9,1.3,,,,,,,,,,,
ka13MAF,7.5,4.7,6.4,4.7,2.1,1.4,4.8,5.5,1.5,2.7,,,,,,,,,,
ka12MAF,6.8,4,5.5,3.9,1.3,0.6,3.9,4.6,1,1.9,0.8,,,,,,,,,
ka15MAF,8.5,6,7.6,6.6,4,3.4,6.5,7.2,3,4.3,1.9,2.6,,,,,,,,
ka17MAF,9.7,7.5,9.2,8.5,6,5.4,8.2,9,4.7,6.2,3.9,4.7,2,,,,,,,
ka19MAF,7.4,3,7.2,7.4,5.2,4.6,6.6,7.5,3.4,4.6,3.5,3.9,2.3,2.3,,,,,,
ka14g3MAF,8.4,5.7,7.3,5.8,3.3,2.5,5.9,6.6,2.4,3.8,1.1,2,0.9,2.9,3.2,,,,,
ka18g4MAF,9.1,7.1,8.8,8.6,6.3,5.6,8.1,8.9,4.8,6,4.3,4.9,2.5,1,1.7,3.5,,,,
ka20g5MAF,6.8,4.4,6.2,6.1,3.8,3.2,5.4,6.2,2,3.2,2.3,2.5,1.8,3,1.3,2.1,2.7,,,
ka23g7MAF,5.5,3.3,5,5.3,3.5,3,4.3,5.2,1.6,2.4,2.6,2.5,2.9,4.2,2.2,3,3.8,1.2,,
ka24g8MAF,4.4,2.7,4.3,5.6,4.3,4,4.3,5,2.6,2.9,4,3.7,4.2,5.3,3,4.4,4.6,2.5,1.4,
