spot,mafM33x2,mafM37x2,m34e1MAF,m36e5MAF,mafM28x2,m29x3MAF,m30mafx3,m25d10MAF,m27d11MAF,m32d12MAF,m39b8MAF,m40e7MAF,m42b9MAF,m24d9MAF
mafM33x2,,,,,,,,,,,,,,
mafM37x2,1.3,,,,,,,,,,,,,
m34e1MAF,1,1.2,,,,,,,,,,,,
m36e5MAF,1.9,1.3,1,,,,,,,,,,,
mafM28x2,3,4.3,3.3,4.2,,,,,,,,,,
m29x3MAF,2.6,3.9,2.9,3.9,0.5,,,,,,,,,
m30mafx3,2,3.3,2.5,3.6,1.4,0.8,,,,,,,,
m25d10MAF,5.2,6.3,5.2,5.8,2.3,2.8,3.7,,,,,,,
m27d11MAF,4,5,3.9,4.5,1.8,2.1,2.9,1.3,,,,,,
m32d12MAF,1.2,2.2,1.2,2.2,2,1.7,1.9,4,2.8,,,,,
m39b8MAF,2.4,1.1,2.1,1.6,5.3,4.9,4.4,7.2,5.9,3.3,,,,
m40e7MAF,4.3,3.5,3.5,2.4,6.3,6,5.8,7.5,6,4.5,2.9,,,
m42b9MAF,4,2.6,3.5,2.7,6.8,6.4,5.9,8.5,7.2,4.7,1.6,2.5,,
m24d9MAF,5,3.6,4.4,3.4,7.7,7.3,6.8,9.3,7.9,5.6,2.5,2.5,1,
