spot,mafM9x2,mafM13x2,m10c11MAF,m12a5MAF,m16c12MAF,mafM5x2,mafM3x2,m2c8MAF,m4c9MAF,m6c10MAF,mafM19x2,mafM21x2,m20d3MAF,mafM23x2,m22d4MAF
mafM9x2,,,,,,,,,,,,,,,
mafM13x2,2,,,,,,,,,,,,,,
m10c11MAF,2,1.5,,,,,,,,,,,,,
m12a5MAF,1.1,0.8,2,,,,,,,,,,,,
m16c12MAF,3,2.1,1.2,2.5,,,,,,,,,,,
mafM5x2,1.2,2.9,2,2.2,3.2,,,,,,,,,,
mafM3x2,1.9,3.5,2.2,2.9,3.5,0.7,,,,,,,,,
m2c8MAF,1.9,3.8,2.9,2.9,4.1,0.9,0.9,,,,,,,,
m4c9MAF,3.3,4.2,2.2,4,3,2.3,1.9,2.7,,,,,,,
m6c10MAF,2,2.9,1,2.5,2.2,1.4,1.3,2.2,1.3,,,,,,
mafM19x2,3.4,1.5,2.9,2.3,2.2,4.3,4.8,5.2,5,3.9,,,,,
mafM21x2,4.8,3.1,3.5,3.9,2.3,5.3,5.7,6.3,5.4,4.5,1.8,,,,
m20d3MAF,6,4.8,4,5.4,3,6.1,6.2,6.9,5.1,4.8,4,2.4,,,
mafM23x2,5.3,3.5,4.3,4.3,3.1,6,6.4,7,6.3,5.4,2,0.9,3,,
m22d4MAF,6.3,4.6,4.3,5.4,3.5,6.8,7,7.6,6.4,5.8,3.4,1.5,1.9,1.7,
