spot,mafT3x2,mafT9x2,mafT10x2,mafT11x2,mafT14x2,mafT1x2,T5_G1MAF,T8_G2MAF,mafT4x2,mafT6x2,T2_F12MAF,T13_G3MAF,mafT12x2,mafT7x2
mafT3x2,,,,,,,,,,,,,,
mafT9x2,3.7,,,,,,,,,,,,,
mafT10x2,4,1.2,,,,,,,,,,,,
mafT11x2,4.3,0.6,1.1,,,,,,,,,,,
mafT14x2,6.2,2.5,2.4,1.9,,,,,,,,,,
mafT1x2,0.8,4.3,4.5,4.9,6.8,,,,,,,,,
T5_G1MAF,1.2,2.5,2.9,3.1,5,1.8,,,,,,,,
T8_G2MAF,3.5,1.3,0.6,1.5,3,3.9,2.4,,,,,,,
mafT4x2,0.5,3.2,3.4,3.8,5.7,1,0.8,2.9,,,,,,
mafT6x2,2.4,1.2,1.8,1.9,3.8,3,1.2,1.5,1.9,,,,,
T2_F12MAF,1.1,4.3,4.3,4.9,6.7,0.6,1.9,3.7,1.2,3,,,,
T13_G3MAF,5.4,1.8,1.5,1.3,0.8,6,4.3,2.2,4.9,3.1,5.8,,,
mafT12x2,5.2,1.5,1.4,0.8,1,5.7,4,2,1.1,2.7,5.6,0.5,,
mafT7x2,2.5,2,1.6,2.4,4,2.9,1.5,1,1.2,1.3,2.7,3.2,3,
