spot,t3MAF,t4MAF,T5_G4MAF,t1MAF,t11MAF,t6MAF,t7MAF,t8MAF,t9MAF,t12MAF,T10_G5MAF,T13_G6MAF
t3MAF,,,,,,,,,,,,
t4MAF,2,,,,,,,,,,,
T5_G4MAF,1,1.5,,,,,,,,,,
t1MAF,1.2,1.4,1.5,,,,,,,,,
t11MAF,5.1,3.8,4,5.2,,,,,,,,
t6MAF,1.4,3,1.5,2.5,5,,,,,,,
t7MAF,2,3.3,1.8,3,4.8,0.6,,,,,,
t8MAF,3.1,3.8,2.6,4.2,4.2,1.8,1.3,,,,,
t9MAF,3.8,2.1,2.8,3.7,1.7,4.1,4,4,,,,
t12MAF,5.5,4.4,4.5,5.8,0.6,5.3,5.1,4.4,2.2,,,
T10_G5MAF,4,3,3,4.3,1,3.9,3.7,3.2,1.3,1.5,,
T13_G6MAF,5.1,4.2,4,5.4,0.8,4.7,4.4,3.7,2.2,0.7,1.1,
