spot,w20c2MAF,w24c4MAF,w25c5MAF,w26c7MAF,w22c3MAF,w17b12MAF,w15b11MAF,w18c1MAF,w14b10MAF,w11b6MAF,w14f2MAF,w24f5MAF,w21f4MAF,w28MAF,w27MAF,w31f7MAF,w29f6MAF,w22MAF,w17f3MAF
w20c2MAF,,,,,,,,,,,,,,,,,,,
w24c4MAF,2.5,,,,,,,,,,,,,,,,,,
w25c5MAF,2.4,2.2,,,,,,,,,,,,,,,,,
w26c7MAF,3.5,4.3,2,,,,,,,,,,,,,,,,
w22c3MAF,1.8,3.9,2.8,2.6,,,,,,,,,,,,,,,
w17b12MAF,3.7,2.7,4.8,6.8,5.6,,,,,,,,,,,,,,
w15b11MAF,3.3,3.9,5.3,6.9,5,2,,,,,,,,,,,,,
w18c1MAF,2,2.5,3.7,5.5,3.8,2,1.5,,,,,,,,,,,,
w14b10MAF,3.9,4.4,5.8,7.5,5.5,2.3,0.5,2.1,,,,,,,,,,,
w11b6MAF,5.8,5.7,7.5,6.3,7.5,3,2.4,3.9,1.9,,,,,,,,,,
w14f2MAF,4.5,5,6.5,8.1,6.2,2.8,1.2,2.8,0.7,1.5,,,,,,,,,
w24f5MAF,1.2,1.8,2.8,4.5,3.1,2.5,2.4,0.8,3,4.8,3.7,,,,,,,,
w21f4MAF,1.3,3,3.9,5.3,3.3,2.7,1.6,0.8,2.1,4.1,2.8,1.2,,,,,,,
w28MAF,2,3.4,1.7,1.6,1.1,5.5,5.4,4,6,7.9,6.6,3.1,3.8,,,,,,
w27MAF,1.4,2.2,1.1,2.5,1.8,4.4,4.5,2.9,5.1,6.9,5.7,2.1,3,1.2,,,,,
w31f7MAF,3.5,5.1,3.1,1.5,2,7.2,7,5.5,7.4,9.4,8.1,4.8,5.3,1.7,2.9,,,,
w29f6MAF,2.2,4.5,3.1,2.2,0.5,6,5.3,4.2,5.9,7.9,6.5,3.5,3.7,1.4,2.3,1.8,,,
w22MAF,3,0.5,2.5,4.6,4.4,2.7,4,2.8,4.5,5.8,5.1,2.3,3.4,3.9,2.7,5.5,4.9,,
w17f3MAF,4,3.2,5.2,7.1,5.7,0.5,1.6,2,1.8,2.5,2.1,2.7,2.6,5.9,4.8,7.5,6.2,3.3,
